Interest Rate (%),Volatility (%),Fair Fee (bps)
2.0,10.0,346.20919979080423
2.0,15.0,718.335536171801
2.0,20.0,1178.4984452557278
2.0,25.0,1771.6399386704616
2.0,30.0,2397.7341442575157
3.0,10.0,190.47985032878725
3.0,15.0,498.575535499095
3.0,20.0,889.0009915923174
3.0,25.0,1402.3640678316892
3.0,30.0,1978.8009477023163
4.0,10.0,100.16993142427009
4.0,15.0,315.42491654296254
4.0,20.0,673.566939041232
4.0,25.0,1096.2029145181075
4.0,30.0,1640.4831014888457
5.0,10.0,46.00135425214649
5.0,15.0,200.9108762881205
5.0,20.0,479.7027667826482
5.0,25.0,854.1435038284733
5.0,30.0,1322.7244752146025
6.0,10.0,16.876069154810086
6.0,15.0,122.69294817632765
6.0,20.0,343.76110539124176
6.0,25.0,657.8544086753897
6.0,30.0,1090.921285029657
