Age,GWB ($),Volatility (%),CTE70 Reserve ($),Reserve/GWB (%)
60,250000,20.0,21334.786947123594,8.533914778849438
60,500000,20.0,44008.08505611335,8.80161701122267
60,750000,20.0,57822.3290001466,7.709643866686214
60,1000000,20.0,99757.24085512909,9.975724085512908
65,250000,20.0,14023.768207393732,5.609507282957493
65,500000,20.0,16935.17676321909,3.3870353526438177
65,750000,20.0,35193.807532712584,4.692507671028345
65,1000000,20.0,43618.776634672846,4.3618776634672844
70,250000,20.0,5696.198803377299,2.2784795213509192
70,500000,20.0,9135.64573447842,1.8271291468956836
70,750000,20.0,13411.94755706648,1.7882596742755306
70,1000000,20.0,21416.79208870196,2.141679208870196
75,250000,20.0,954.1465705461964,0.3816586282184785
75,500000,20.0,1165.7267038487196,0.23314534076974391
75,750000,20.0,5323.166402805785,0.7097555203741047
75,1000000,20.0,4881.47621749486,0.488147621749486
80,250000,20.0,102.70338662793046,0.041081354651172186
80,500000,20.0,195.63692931803183,0.03912738586360637
80,750000,20.0,0.0,0.0
80,1000000,20.0,394.74259557934556,0.03947425955793456
